D	ExpD	varD	pvalD	Z	trK	jkFGr	varFGr	error	signal	gammaF	dataset	gwas	contrasts	L
9913.79313488858	9999	207620	0.425830633456086	0.000991478461334991	9999000	9.90979264099723e-07	9.91478461334902e-07	0.999496512274702	0.000503487725298291	0.00100672195070706	HGDP	q1	Long	1000
10789.5946821618	9999	204192	0.0400952899356973	0.000341261029397113	31616838	9.77029705018569e-08	1.07925689246397e-07	0.905280023542852	0.0947199764571478	0.180468078974253	HGDP	q1	Long	3162
11565.1557458535	9999	230228	0.000549178739532935	0.000115663123770912	99990000	1.02835198402509e-08	1.15663123770912e-08	0.88909234896845	0.110907651031551	0.209514795005765	HGDP	q1	Long	10000
15732.2602398041	9999	426360	8.14666194767169e-19	4.97543990866345e-05	316198377	1.14224892832142e-09	1.5733611322972e-09	0.725992847334211	0.27400715266579	0.472934385619566	HGDP	q1	Long	31623
29075.0007044325	9999	1454956	1.23088932569298e-56	2.90779084952821e-05	999900000	1.45510708625059e-10	2.9077908495282e-10	0.500416694855024	0.499583305144977	0.749583131510374	HGDP	q1	Long	100000
67805.4466747572	9999	7917299	4.34273602039829e-94	2.14440934697582e-05	3161963772	2.49373318835257e-11	6.78121275464481e-11	0.367741476131166	0.632258523868834	0.864766206732871	HGDP	q1	Long	316228
196400.91149867	9999	66445734	4.90523096053035e-116	1.96420553554026e-05	9999000000	5.61232940321637e-12	1.96420553554026e-11	0.28573025081475	0.71426974918525	0.91835822376934	HGDP	q1	Long	1000000
244357.497521225	9999	102859559	1.9331207574814e-118	1.94552087700435e-05	12560003874	4.31610778369496e-12	1.54882621409345e-11	0.278669597945903	0.721330402054097	0.922343255180669	HGDP	q1	Long	pruneall
2166205.12018694	9999	8076910441	1.68254709221608e-127	3.12544481289888e-05	69308698437	2.14007357228502e-12	4.50900440910495e-12	0.474622195525826	0.525377804474174	0.774733771514245	HGDP	q1	Long	all
22105.5481058649	9999	1053480	2.06487041608276e-32	0.00221077588817531	9999000	1.08938410129294e-06	2.21077588817529e-06	0.492760983652704	0.507239016347296	0.75718661298962	HGDP	q2	AFRICA-EUROPE	1000
47314.3452155462	9999	3897984	5.6762347529675e-80	0.0014964920026331	31616838	9.94683130998609e-08	4.73273878125581e-07	0.210170722909552	0.789829277090448	0.955828267231676	HGDP	q2	AFRICA-EUROPE	3162
115866.918047891	9999	23184484	1.91828851935483e-107	0.0011587850589848	99990000	1.04664591714322e-08	1.1587850589848e-07	0.0903226969512511	0.909677303048749	0.991841810415453	HGDP	q2	AFRICA-EUROPE	10000
332978.852086875	9999	191173175	5.52845869658138e-121	0.00105306945356926	316198377	1.15951081184771e-09	3.33007448239969e-08	0.0348193656921496	0.96518063430785	0.998787611772796	HGDP	q2	AFRICA-EUROPE	31623
1013819.26691153	9999	1772325388	5.80442482943245e-126	0.00101392065897743	999900000	1.54452918921919e-10	1.01392065897743e-08	0.0152332352195772	0.984766764780423	0.999767948544745	HGDP	q2	AFRICA-EUROPE	100000
3202574.74384938	9999	17685923673	1.19160723235063e-127	0.00101284679466102	3161953773	2.64111423371641e-11	3.20291055052549e-09	0.00824598187196672	0.991754018128033	0.999932003782967	HGDP	q2	AFRICA-EUROPE	316228
10071381.6716534	9999	174908108964	3.47361378699283e-128	0.00100723989829434	9998990001	6.21807540769353e-12	1.00724090553525e-09	0.00617337458548631	0.993826625414514	0.999961889446227	HGDP	q2	AFRICA-EUROPE	1000000
12786978.280652	9999	281947300090	3.07402228122362e-128	0.00100736263509382	12693520521	4.72166418362611e-12	7.9352445774512e-10	0.00595024405050248	0.994049755949498	0.99996459459574	HGDP	q2	AFRICA-EUROPE	pruneall
71913602.963719	9999	8917082103851	2.0723151378833e-128	0.00103391816500564	69554443860	1.90188717003763e-12	1.48633892504412e-10	0.0127957839089841	0.987204216091016	0.999836267914155	HGDP	q2	AFRICA-EUROPE	all
18171.9961344986	9999	725603	4.2077565590109e-22	0.00181738135158501	9999000	9.81408648254767e-07	1.81738135158487e-06	0.540012500622899	0.459987499377102	0.708386499171004	HGDP	q2	Lat	1000
37066.0990172895	9999	2421269	4.51473640095422e-68	0.00117235313086304	31616838	1.01121706719227e-07	3.70763165990837e-07	0.272739354916735	0.727260645083265	0.925613244279603	HGDP	q2	Lat	3162
99828.3383290704	9999	17209192	2.78691452987673e-104	0.000998383221612865	99990000	1.04892484491845e-08	9.98383221612865e-08	0.105062347023814	0.894937652976186	0.988961903237848	HGDP	q2	Lat	10000
279745.844408115	9999	135164460	2.17402526935877e-119	0.000884716256491459	316198377	1.16504015934668e-09	2.79769868921816e-08	0.04164280320238	0.95835719679762	0.998265876941448	HGDP	q2	Lat	31623
874617.210166558	9999	1319025975	1.42610434398677e-125	0.000874704680634622	999900000	1.53536967130541e-10	8.74704680634621e-09	0.0175530062351039	0.982446993764896	0.99969189197211	HGDP	q2	Lat	100000
2744692.49692657	9999	12990144703	1.6082281571887e-127	0.000868034137908702	3161963772	2.60519387678237e-11	2.74496293151999e-09	0.00949081623969246	0.990509183760308	0.999909924407104	HGDP	q2	Lat	316228
8620076.68322699	9999	128130390453	3.82246771803753e-128	0.00086209473980521	9998990001	6.13112649301289e-12	8.62095601900812e-10	0.00711188698735329	0.992888113012647	0.999949421063479	HGDP	q2	Lat	1000000
10948056.3876884	9999	206682957747	3.31428815645682e-128	0.000862491723204452	12693520521	4.65695181842232e-12	6.794060580793e-10	0.0068544455308327	0.993145554469167	0.999953016576465	HGDP	q2	Lat	pruneall
61272784.4354981	9999	6473389715937	2.09576410988375e-128	0.000880932705878991	69554443860	1.95781097378638e-12	1.26641025896401e-10	0.0154595318533504	0.98454046814665	0.999761002874875	HGDP	q2	Lat	all
13834.8891506776	9999	424900	1.99418931093355e-09	0.00138362727779553	9999000	1.05856526694489e-06	1.38362727779552e-06	0.765065335103441	0.234934664896559	0.41467503302306	HGDP	q2	Long	1000
19904.5918570835	9999	692540	5.70580404840423e-33	0.000629556689289532	31616838	9.3756389378896e-08	1.99100787251591e-07	0.470899139441482	0.529100860558518	0.778254000473272	HGDP	q2	Long	3162
42088.2311742709	9999	3062498	2.10779053852004e-75	0.000420966500833211	99980001	1.09824801443117e-08	4.2100860169338e-08	0.260861181936379	0.739138818063621	0.931951443758755	HGDP	q2	Long	10000
103814.992686121	9999	18577707	2.43092101014868e-105	0.000328322345203311	316198377	1.15485160351283e-09	1.03823908295643e-08	0.111231759858658	0.888768240141342	0.987627495598746	HGDP	q2	Long	31623
310288.79806269	9999	165996294	1.87065922020106e-120	0.000310319830045695	999900000	1.46931336421268e-10	3.10319830045695e-09	0.0473483555335902	0.95265164446641	0.997758133228265	HGDP	q2	Long	100000
932024.935455058	9999	1497800773	9.40247729057631e-126	0.000294762353394803	3161953773	2.49986091556244e-11	9.32122663133772e-10	0.0268190122870522	0.973180987712948	0.999280740579947	HGDP	q2	Long	316228
2982647.09277628	9999	15339607986	1.3447389903544e-127	0.000298294837026338	9998990001	5.73686923096727e-12	2.98295135321473e-10	0.0192321917177249	0.980767808282275	0.999630122801733	HGDP	q2	Long	1000000
3778630.96110825	9999	24619583207	8.94023539070168e-128	0.000297681872799349	12693520521	4.34644645012015e-12	2.34491372286859e-10	0.0185356348411959	0.981464365158804	0.999656430241034	HGDP	q2	Long	pruneall
23750265.2625629	9999	972494785307	2.36033014393027e-128	0.000341462945349224	69554443860	2.14809962988425e-12	4.90879920975173e-11	0.0437601852937247	0.956239814706275	0.998085046183059	HGDP	q2	Long	all
150143.16685243	9999	48389963	1.4471508859158e-90	0.0150158182670697	9999000	9.70518695483342e-07	1.50158182670696e-05	0.0646330874696142	0.935366912530386	0.995822564004145	HGDP	q3	AFRICA-EUROPE	1000
378949.040167706	9999	252019884	8.82217892498035e-120	0.0119856716907524	31616838	1.07961598092466e-07	3.79053500656307e-06	0.0284818892070742	0.971518110792926	0.999188781987196	HGDP	q3	AFRICA-EUROPE	3162
1267586.11296156	9999	2775682857	3.13614335331092e-126	0.0126771288424998	99990000	1.04184531841494e-08	1.26771288424998e-06	0.00821830661625978	0.99178169338374	0.999932459436361	HGDP	q3	AFRICA-EUROPE	10000
3906605.87087542	9999	26362952308	1.43100511989884e-127	0.0123549206923204	316198377	1.21153304340861e-09	3.90694136935787e-07	0.00310097574770551	0.996899024252295	0.999990383949412	HGDP	q3	AFRICA-EUROPE	31623
12257456.4286549	9999	259085289694	3.1557983799403e-128	0.0122586822968845	999900000	1.61242950327196e-10	1.22586822968845e-07	0.00131533672561345	0.998684663274387	0.999998269889298	HGDP	q3	AFRICA-EUROPE	100000
39307276.1279553	9999	2664328334213	2.2777422919274e-128	0.0124313253607947	3161953773	3.10396540890412e-11	3.93113977010017e-08	0.000789584087676697	0.999210415912323	0.999999376556968	HGDP	q3	AFRICA-EUROPE	316228
123827670.077506	9999	26440901147969	2.05787471747852e-128	0.0123840177923092	9998990001	7.49791199839853e-12	1.23840301763394e-08	0.000605450074946026	0.999394549925054	0.999999633430207	HGDP	q3	AFRICA-EUROPE	1000000
164601936.30902	9999	46720842715134	2.03401905259073e-128	0.012356438001696	13321147752	5.45154710357275e-12	9.27487825216927e-09	0.000587775597194249	0.999412224402806	0.999999654519847	HGDP	q3	AFRICA-EUROPE	pruneall
820028705.685761	9999	1159518458464750	1.94957215236044e-128	0.0116741373444444	70243194978	1.96110683308261e-12	1.66179370604739e-09	0.00118011449071326	0.998819885509287	0.999998607329789	HGDP	q3	AFRICA-EUROPE	all
99694.8063913785	9999	21284961	1.71092183840961e-84	0.00997047768690654	9999000	9.1917763097531e-07	9.97047768690653e-06	0.0921899290926047	0.907810070907395	0.991501016973901	HGDP	q3	Lat	1000
349430.583275365	9999	213904032	1.87843366660313e-119	0.0110520407915354	31616838	1.01925880470633e-07	3.49526906753174e-06	0.02916109704327	0.97083890295673	0.999149630419233	HGDP	q3	Lat	3162
1089561.48731935	9999	2050782202	6.58485154482852e-126	0.0108967045436479	99990000	1.06909401482165e-08	1.08967045436479e-06	0.00981116823475653	0.990188831765243	0.999903740977869	HGDP	q3	Lat	10000
3408085.99661227	9999	20029421582	1.08145881259707e-127	0.0107783159070809	316198377	1.19099489965451e-09	3.4083786823138e-07	0.00349431507078314	0.996505684929217	0.999987789762186	HGDP	q3	Lat	31623
10555294.1400924	9999	192125528554	3.41154112048348e-128	0.0105563497750699	999900000	1.6073113965071e-10	1.05563497750699e-07	0.00152260149649737	0.998477398503503	0.999997681684683	HGDP	q3	Lat	100000
33526292.6417236	9999	1938266121849	2.33728652340072e-128	0.0106029970800449	3161963772	2.98084953581177e-11	3.35295959878469e-08	0.000889020415543392	0.999110979584457	0.999999209642701	HGDP	q3	Lat	316228
105373228.426434	9999	19147017953413	2.07446347365686e-128	0.0105383766803114	9999000000	7.25899156443091e-12	1.05383766803114e-08	0.000688814965021388	0.999311185034979	0.999999525533944	HGDP	q3	Lat	1000000
140736211.465405	9999	34154849358341	2.04605439675219e-128	0.010564871292286	13321147752	5.26116125259287e-12	7.93010857759665e-09	0.00066344126327049	0.99933655873673	0.99999955984569	HGDP	q3	Lat	pruneall
685423721.231901	9999	810097717404336	1.95175312292536e-128	0.00975786652994036	70243194978	2.00134377117045e-12	1.38901579666802e-09	0.0014408358608817	0.998559164139118	0.999997923992022	HGDP	q3	Lat	all
16233.8940679677	9999	578734	1.24501062239388e-16	0.00162355176197297	9999000	9.42377772655389e-07	1.62355176197296e-06	0.580442086743325	0.419557913256675	0.663086983937055	HGDP	q3	Long	1000
30203.0324481761	9999	1601414	1.10885119591729e-57	0.000955283145271392	31616838	9.5320713610536e-08	3.02113581679757e-07	0.315512838186721	0.684487161813279	0.90045164893936	HGDP	q3	Long	3162
91801.4107203721	9999	14552257	2.61101450369575e-102	0.000918105917795501	99990000	1.0355524443777e-08	9.18105917795501e-08	0.112792263322319	0.887207736677681	0.987277905334629	HGDP	q3	Long	10000
248914.145004209	9999	106825694	1.61196159256831e-118	0.000787208800265943	316198377	1.15083208957278e-09	2.48935521698113e-08	0.0462301274531808	0.953769872546819	0.997862775315663	HGDP	q3	Long	31623
789953.198489593	9999	1076011568	2.8754107189681e-125	0.000790032201709764	999900000	1.46781881884001e-10	7.90032201709764e-09	0.0185792277284824	0.981420772271518	0.999654812297013	HGDP	q3	Long	100000
2440288.79481889	9999	10268553985	2.09230492026679e-127	0.000771763679403374	3161963772	2.5284325661355e-11	2.44052923651092e-09	0.0103601814242154	0.989639818575785	0.999892666640857	HGDP	q3	Long	316228
7796596.82101493	9999	104818882763	4.10266298838352e-128	0.000779738435605516	9998990001	5.87510544637476e-12	7.79739215344731e-10	0.00753470561792549	0.992465294382075	0.999943228211251	HGDP	q3	Long	1000000
10355014.5117602	9999	184897681167	3.4151305359658e-128	0.000777336510677579	13321147752	4.22632560184748e-12	5.83477333557701e-10	0.00724334152978633	0.992756658470214	0.999947534003483	HGDP	q3	Long	pruneall
58525105.7737849	9999	5905775583114	2.09949592366759e-128	0.000833178299935172	70243194978	2.0996092584191e-12	1.1860152180807e-10	0.0177030549558786	0.982296945044121	0.999686601845229	HGDP	q3	Long	all
157261.668105525	9999	54134697	2.03966426620985e-89	0.015727739584511	9999000	9.91031691953639e-07	1.5727739584511e-05	0.0630117053139428	0.936988294686057	0.996029524993429	HGDP	q4	AFRICA-EUROPE	1000
450172.592187536	9999	356897921	2.22760775372083e-120	0.0142383812128062	31616838	9.57260039996404e-08	4.50296686047001e-06	0.0212584296011561	0.978741570398844	0.999548079170893	HGDP	q4	AFRICA-EUROPE	3162
1477300.10288245	9999	3770098859	1.64650104294733e-126	0.0147744784766722	99990000	1.040817882996e-08	1.47744784766722e-06	0.00704470133845591	0.992955298661544	0.999950372183052	HGDP	q4	AFRICA-EUROPE	10000
4747480.3822543	9999	38866855158	6.7200060214586e-128	0.0150142465223795	316198377	1.18436477056326e-09	4.74788809486118e-07	0.00249450860445751	0.997505491395543	0.999993777426822	HGDP	q4	AFRICA-EUROPE	31623
15110076.9967972	9999	393711659788	2.89148749063035e-128	0.0151115881556128	999900000	1.60575402608984e-10	1.51115881556128e-07	0.0010625977955159	0.998937402204484	0.999998870885925	HGDP	q4	AFRICA-EUROPE	100000
46980608.3071248	9999	3806094873251	2.22417318763517e-128	0.0148580476231733	3161963772	3.04229023812075e-11	4.6985237307175e-08	0.000647499174736778	0.999352500825263	0.999999580744819	HGDP	q4	AFRICA-EUROPE	316228
149984201.833564	9999	38791111773750	2.04158062299932e-128	0.0149999351753091	9998990001	7.47258292331715e-12	1.49999501752593e-08	0.000498173849646668	0.999501826150353	0.999999751822816	HGDP	q4	AFRICA-EUROPE	1000000
202040305.60927	9999	70390999047121	2.02117844095082e-128	0.0149911424177504	13477312134	5.37761270173654e-12	1.1122131144899e-08	0.000483505600831088	0.999516494399169	0.999999766222334	HGDP	q4	AFRICA-EUROPE	pruneall
995256303.013734	9999	1708007508941610	1.9475936592624e-128	0.0141360171076629	70405708725	1.950930195996e-12	2.0075933843889e-09	0.000971775565294487	0.999028224434706	0.999999055652251	HGDP	q4	AFRICA-EUROPE	all
173708.061219351	9999	66487991	5.85081970338487e-90	0.0173725433762728	9999000	9.66530331146475e-07	1.73725433762727e-05	0.0556355111748667	0.944364488825133	0.996904689896311	HGDP	q4	Lat	1000
399374.343787034	9999	281407482	1.74810555851008e-119	0.0126316978246539	31616838	1.05075858179145e-07	3.99484434682285e-06	0.0263028666593014	0.973697133340699	0.999308159205503	HGDP	q4	Lat	3162
1372148.12991927	9999	3252582081	2.23567988627496e-126	0.0137228535845512	99990000	1.0459508403519e-08	1.37228535845512e-06	0.00762196312820393	0.992378036871796	0.999941905678072	HGDP	q4	Lat	10000
4066238.07925196	9999	28561374474	1.34899112252393e-127	0.0128597689774099	316198377	1.16759716904279e-09	4.06658728691456e-07	0.00287119662425513	0.997128803375745	0.999991756229945	HGDP	q4	Lat	31623
12825244.8119531	9999	283645275148	3.09485088533866e-128	0.0128265274646996	999900000	1.62225483803052e-10	1.28265274646996e-07	0.00126476541877386	0.998735234581226	0.999998400368435	HGDP	q4	Lat	100000
40016375.8432879	9999	2761321301470	2.27116804635573e-128	0.0126555453283947	3161963772	2.97333530362621e-11	4.00203186574076e-08	0.000742956428977822	0.999257043571022	0.999999448015745	HGDP	q4	Lat	316228
127323717.92311	9999	27954991912138	2.05508546199849e-128	0.0127336451568267	9999000000	7.26481417013896e-12	1.27336451568267e-08	0.000570521172897942	0.999429478827102	0.999999674505591	HGDP	q4	Lat	1000000
171900099.704133	9999	50955755257430	2.03124274926391e-128	0.0127547761745809	13477312134	5.19924093103888e-12	9.46294080760321e-09	0.000549431834854281	0.999450568165146	0.999999698124659	HGDP	q4	Lat	pruneall
827998402.758155	9999	1182166236041850	1.9494359896548e-128	0.0117603873003006	70405708725	1.99350657286463e-12	1.67020707191533e-09	0.00119356851397985	0.99880643148602	0.999998575394202	HGDP	q4	Lat	all
31223.3254058987	9999	2145068	6.85575298948675e-48	0.00312264480507038	9999000	1.03026956039667e-06	3.12264480507033e-06	0.329934918862302	0.670065081137698	0.891142949315326	HGDP	q4	Long	1000
61359.3710174131	9999	6626516	7.2066838550673e-89	0.00194071813941081	31616838	1.02414481259516e-07	6.13762852438587e-07	0.166863277652934	0.833136722347066	0.97215664657092	HGDP	q4	Long	3162
160994.530561803	9999	44764982	4.46044609716754e-113	0.00161010631624965	99990000	1.03788559137941e-08	1.61010631624965e-07	0.0644606869064964	0.935539313093504	0.995844819843543	HGDP	q4	Long	10000
554037.09693635	9999	530206734	1.01991703780472e-123	0.00175218197573591	316198377	1.14819798403686e-09	5.54084677524559e-08	0.0207224280080542	0.979277571991946	0.999570580977451	HGDP	q4	Long	31623
1662535.92994999	9999	4766230807	6.36145583543774e-127	0.00166270220017	999900000	1.50185759244849e-10	1.66270220017e-08	0.00903263129317406	0.990967368706826	0.999918411571922	HGDP	q4	Long	100000
5229892.96009315	9999	47164966024	5.92822348457019e-128	0.00165400677415063	3161953773	2.56194968249909e-11	5.23044134166479e-09	0.00489815202034872	0.995101847979651	0.999976008106785	HGDP	q4	Long	316228
16625479.8017808	9999	476633532690	2.77580415716287e-128	0.00166271591431915	9998990001	5.96577671142801e-12	1.66271757703673e-09	0.00358796755012365	0.996412032449876	0.999987126488859	HGDP	q4	Long	1000000
22375187.2108418	9999	863315789198	2.53776326586095e-128	0.0016602113973746	13477312134	4.23294702758308e-12	1.23173327124106e-09	0.00343657764746266	0.996563422352537	0.999988189934073	HGDP	q4	Long	pruneall
130350948.101065	9999	29297918890922	2.00895763772677e-128	0.00185142583551296	70405708725	2.10244241607543e-12	2.62939004017449e-10	0.00799593207531854	0.992004067924681	0.999936065070247	HGDP	q4	Long	all
